,job_title,company,location,salary,summary,link
202,Associate Data Scientist,NextEra Energy,"Miami, FL 33174",,"Our reliability is one of the best in the nation, and we’re working to make it even better.That’s why we’re committed to making Florida a better place.",https://indeed.com//rc/clk?jk=e296e2aea1001038&fccid=ee1723cae957f03e&vjs=3
203,Artificial Intelligence/Analytics Data Scientist - Consultant,Capgemini,"Miami, FL",,"Candidates should be flexible / willing to work across this delivery landscape which includes and not limited to Agile Applications Development, Support and…",https://indeed.com//rc/clk?jk=a15965d4a07dc74c&fccid=105ecfd0283f415f&vjs=3
204,Data Scientist,Zimmerman Advertising,"Fort Lauderdale, FL",,"Blazing a new trail, we are further developing our Insight Marketing team to include the data science discipline.Data mining experience (using python/pandas).",https://indeed.com//rc/clk?jk=073776d12c6a7644&fccid=3700c219e9e9398d&vjs=3
205,Data Scientist,BankUnited,"Miami Lakes, FL 33016",,The Data Scientist is part of BankUnited's newly formed Analytics Center of Excellence (CoE).This dynamic team of talented professionals is tasked with the…,https://indeed.com//rc/clk?jk=704240e27f524208&fccid=5500c50eab3ba786&vjs=3
206,Data Analyst,Royal Caribbean Cruises Ltd.,"Miami, FL 33132 (Downtown area)",,"Great vacations begin with great employees!Combine your experience and sense of adventure by joining our exciting team of employees in Miami, FL.",https://indeed.com//rc/clk?jk=409adb1408e2722e&fccid=fa65a3fcc2b211c1&vjs=3
207,Data Scientist,BoxyCharm,"Pembroke Pines, FL",,Boxy Charm was founded in 2013 and continues to be a leader in the beauty subscription box industry experiencing immense growth of more than 100% year over year…,https://indeed.com//rc/clk?jk=4d1636a9d6378023&fccid=d9f82eb706765629&vjs=3
208,"Senior Data Scientist, Data Analytics & AI",Royal Caribbean Cruises Ltd.,"Miami, FL 33132 (Downtown area)",,"Royal Caribbean is seeking a talented, experienced and inquisitive Data Scientist to design and implement cutting edge solutions across a breadth of domain…",https://indeed.com//rc/clk?jk=7466479f43f8408c&fccid=fa65a3fcc2b211c1&vjs=3
209,Summer College Intern-Data Analytics and Special Projects Support,NextEra Energy,"Miami, FL 33134",,"Our reliability is one of the best in the nation, and we’re working to make it even better.That’s why we’re committed to making Florida a better place.",https://indeed.com//rc/clk?jk=5c134cdb307849d1&fccid=ee1723cae957f03e&vjs=3
210,Data Scientist Sr,Telos Corporation,"Homestead AFB, FL 33039",,"Candidates applying for this position must be motivated, creative, and able to work collaboratively across a wide spectrum of mission and technical personnel…",https://indeed.com//rc/clk?jk=a5aaa67c8f8f8a10&fccid=5695b0e2ce6945d4&vjs=3
211,Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.","Miami, FL",,"PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.). This is a customer facing role.",https://indeed.com//rc/clk?jk=cb58962086335bb2&fccid=fe2d21eef233e94a&vjs=3
212,Data Science Analyst,World Fuel,"Miami, FL",,"All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national…",https://indeed.com//rc/clk?jk=95c5c30e8cc5c0da&fccid=e6a074b872ebbb1a&vjs=3
213,Data Science Intern,KEMET Electronics Corporation,"Fort Lauderdale, FL",,KEMET Electronics Corporation is a leading global supplier of electronic components and is seeking an experienced Data Science Intern to join our dynamic data…,https://indeed.com//rc/clk?jk=87be2dbd4ee16469&fccid=a597124b2fa10a9a&vjs=3
214,Summer College Intern - IT Data Science (Customer Service),NextEra Energy,"Miami, FL 33174",,"Qualified applicants are considered for employment without regard to race, color, age, national origin, religion, marital status, sex, sexual orientation,…",https://indeed.com//rc/clk?jk=3f31271eb06f5386&fccid=ee1723cae957f03e&vjs=3
215,Sr. Data Analyst - Fraud Investigations,TracFone Wireless,"Miami, FL",,"Data analysis and findings to support investigations of a fraudulent nature or with fraudulent intentions which impact the Company’s revenue stream, operating…",https://indeed.com//rc/clk?jk=c925c33f236f3600&fccid=10d053e39b7bdca8&vjs=3
216,Statistical Analyst,American Heart Association,"Hollywood, FL 33084",,"Additional responsibilities include organization, analysis, and reporting of data collected from various sources, including AHA program data and national health…",https://indeed.com//rc/clk?jk=0c6214b2d80d41e2&fccid=fb509292145a023d&vjs=3
217,Sr. Data Scientist,TracFone Wireless,"Miami, FL",,"4-7 years of experience data science or related areas including machine learning, deep learning or statistical predictive modeling both hands-on and in lead…",https://indeed.com//rc/clk?jk=a042fc42e1c3d072&fccid=10d053e39b7bdca8&vjs=3
218,"Lead, Data Scientist TSS ops",Royal Caribbean Cruises Ltd.,"Miramar, FL",,"¿ Collaborate directly with teams/individuals across the company to facilitate the design, research, development, and delivery of data statistics, models and…",https://indeed.com//rc/clk?jk=fc18ed1485a6792b&fccid=fa65a3fcc2b211c1&vjs=3
219,"Senior Manager, Data Science & Analytics",Royal Caribbean Cruises Ltd.,"Miami, FL 33132 (Downtown area)",,It is the policy of the Company to ensure equal employment and promotion opportunity to qualified candidates without discrimination or harassment on the basis…,https://indeed.com//rc/clk?jk=42da5048ae1c0afc&fccid=fa65a3fcc2b211c1&vjs=3
220,Junior Data Analyst,AppZen,"Tempe, AZ",,"AppZen delivers the world’s leading AI platform for modern finance teams. Starting with business spend, we automate manual process, uncover problems, and…",https://indeed.com//rc/clk?jk=e48eb622a2591bf3&fccid=232d2677a5ec1087&vjs=3
221,Data Scientist,Circle K,"Tempe, AZ",,"Circle K is a great place to work! We know that you can work anywhere. However, working at Circle K is the start of something great!",https://indeed.com//rc/clk?jk=67dafec654e7c111&fccid=9cfe635d4940df97&vjs=3
222,Data Scientist (HCE),Honeywell,"Phoenix, AZ 85034 (Central City area)",,"Join a team recognized for leadership, innovation and diversity. The future is what you make it. When you join Honeywell, you become a member of our global team…",https://indeed.com//rc/clk?jk=4ed11a7716d936f1&fccid=50208b5bf45ee3b8&vjs=3
223,Junior Data Scientist Internship,PETSMART,"Phoenix, AZ",,"Are you looking for a fun and rewarding summer internship? At PetSmart, we are committed to developing future business leaders. What’s in it for you?",https://indeed.com//rc/clk?jk=32a54f7868bd5eef&fccid=b59989803df0669c&vjs=3
224,Sr. Data Scientist,Tuft & Needle,"Phoenix, AZ",,"THE JOURNEY TO YOUR DREAM JOB COULD BE JUST A CLICK AWAY…. In 2012, Tuft & Needle(tn.com) revolutionized the mattress space by turning the focus to the customer…",https://indeed.com//rc/clk?jk=c072ba38b83c35ba&fccid=49c2e79fe3c54044&vjs=3
225,Data Scientist,Cyient,"Phoenix, AZ",,"Celebrating its twenty-fifth anniversary in 2016, Cyient is an acknowledged leader in engineering design services, design-led manufacturing, networks and…",https://indeed.com//rc/clk?jk=330b9ae5014a606b&fccid=48337f40cc18bca7&vjs=3
226,"Data Scientist I - Phoenix, AZ",Freeport-McMoRan Copper & Gold,"Phoenix, AZ",,"Freeport-McMoRan is a premier U.S.-based natural resources company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse…",https://indeed.com//rc/clk?jk=0e5894089c9fa1be&fccid=2e1d4d51c6f0e2bb&vjs=3
227,Data Scientist I-III,Blue Cross Blue Shield of Arizona,"Phoenix, AZ 85021 (North Mountain area)",,"Discover business insights, identify opportunities and provide solutions and recommendations to solve business problems through the use of statistical,…",https://indeed.com//rc/clk?jk=4a66d527c9dc6a33&fccid=4fe54963af81755f&vjs=3
228,Data Scientist,"Master Electronics, Inc.","Phoenix, AZ",,"Master Electronics has an exciting career opportunity for a Data Scientist that will report to the Vice President of Data Science in Phoenix, AZ.",https://indeed.com//rc/clk?jk=b256e29094239553&fccid=8691f3f7b4d646bd&vjs=3
229,HRIS Data Analyst Senior,Maricopa Community Colleges,"Maricopa County, AZ",,Some evenings and weekends may be required. Our employees are our most valuable asset; That’s why at Maricopa County Community College District (MCCCD) we are…,https://indeed.com//rc/clk?jk=75e2ef581fc3aac9&fccid=d2d65049c8370c18&vjs=3
230,Data Scientist,Cyient,"Phoenix, AZ",,"Celebrating its twenty-fifth anniversary in 2016, Cyient is an acknowledged leader in engineering design services, design-led manufacturing, networks and…",https://indeed.com//rc/clk?jk=330b9ae5014a606b&fccid=48337f40cc18bca7&vjs=3
231,Data Scientist (Analytic Consultant 4),Wells Fargo,"Tempe, AZ",,Wells Fargo technology teams drive innovation to create a more powerful and fulfilling financial experience for our customers and team members.,https://indeed.com//rc/clk?jk=e8775c85f2420657&fccid=78bbcd26e39621f5&vjs=3
232,"Data Scientist, Banking Products",Silicon Valley Bank,"Tempe, AZ 85281",,Silicon Valley Bank serves some of the most innovative companies in the world. Our clients are forward thinkers. This is a newly created role.,https://indeed.com//rc/clk?jk=0c4d0d823dc77769&fccid=40a4c5390ac10de9&vjs=3
233,Data Scientist I-III,Blue Cross Blue Shield of Arizona,"Phoenix, AZ 85021 (North Mountain area)",,"Discover business insights, identify opportunities and provide solutions and recommendations to solve business problems through the use of statistical,…",https://indeed.com//rc/clk?jk=4a66d527c9dc6a33&fccid=4fe54963af81755f&vjs=3
234,Language Data Analyst,TransPerfect,"Tempe, AZ 85284",,"TransPerfect Is More Than Just a Job…. Our greatest asset is our people, and nothing is more important to us than ensuring that everyone knows that.",https://indeed.com//rc/clk?jk=30d0f3baf558d437&fccid=dd616958bd9ddc12&vjs=3
235,Senior Data Analyst,InfoArmor Inc,"Scottsdale, AZ 85253",,InfoArmor provides industry-leading employee identity protection and advanced threat intelligence that enable its clients to combat an ever-changing cyber…,https://indeed.com//rc/clk?jk=3fbeaa433821f077&fccid=fe74a03bb313b6e1&vjs=3
